20260711T,0,1000,0,107.08,0
20260712T,0,1000,0,107.08,0
20260713T,0,1000,0,107.08,0
20260714T,0,1000,0,107.08,0
20260715T,0,1000,0,107.08,0
20260716T,0,1000,0,102.26,0
20260717T,0,1000,0,102.26,0
20260718T,0,1000,0,102.26,0
20260719T,0,1000,0,102.26,0
20260720T,0,1000,0,102.26,0
20260721T,0,1000,0,100.86,0
20260722T,0,1000,0,100.86,0
20260723T,0,1000,0,100.86,0
20260724T,0,1000,0,100.86,0
20260725T,0,1000,0,100.86,0
20260726T,0,1000,0,99.48,0
20260727T,0,1000,0,99.48,0
20260728T,0,1000,0,99.48,0
20260729T,0,1000,0,99.48,0
20260730T,0,1000,0,99.48,0
20260731T,0,1000,0,97.74,0
20260801T,0,1000,0,97.74,0
20260802T,0,1000,0,97.74,0
20260803T,0,1000,0,97.74,0
20260804T,0,1000,0,97.74,0
20260805T,0,1000,0,94.95,0
20260806T,0,1000,0,94.95,0
20260807T,0,1000,0,94.95,0
20260808T,0,1000,0,94.95,0
20260809T,0,1000,0,94.95,0
20260810T,0,1000,0,94.92,0
20260811T,0,1000,0,94.92,0
20260812T,0,1000,0,94.92,0
20260813T,0,1000,0,94.92,0
20260814T,0,1000,0,94.92,0
